[16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1],0.6139534711837769
[16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1],0.6511628031730652
[9, 7, 10, 4, 15, 16, 5, 8, 1, 6, 11, 2, 3, 13, 12, 14],0.6534883975982666
[7, 15, 13, 12, 4, 5, 10, 8, 14, 6, 3, 9, 11, 1, 16, 2],0.5674418807029724
[16, 2, 4, 8, 1, 7, 14, 10, 9, 13, 3, 11, 5, 15, 12, 6],0.8069767355918884
[12, 13, 4, 16, 10, 1, 15, 8, 9, 2, 11, 5, 3, 6, 14, 7],0.800000011920929
[8, 4, 9, 14, 6, 12, 7, 16, 11, 15, 3, 10, 13, 1, 5, 2],0.6767441630363464
[12, 3, 7, 10, 5, 1, 6, 4, 16, 2, 8, 15, 9, 13, 11, 14],0.569767415523529
[12, 3, 13, 16, 11, 8, 7, 6, 9, 10, 14, 4, 15, 2, 1, 5],0.7511627674102783
[4, 5, 12, 6, 3, 13, 15, 10, 11, 8, 2, 9, 7, 14, 16, 1],0.46046510338783264
[14, 4, 9, 2, 11, 10, 5, 16, 6, 12, 15, 1, 3, 7, 8, 13],0.29767441749572754
[5, 13, 3, 9, 6, 1, 11, 15, 8, 16, 4, 12, 10, 2, 7, 14],0.36279070377349854
[15, 5, 2, 16, 8, 10, 13, 6, 1, 11, 4, 3, 12, 14, 7, 9],0.4558139443397522
[6, 11, 10, 1, 9, 12, 7, 15, 16, 8, 5, 13, 4, 2, 14, 3],0.5883721113204956
[11, 13, 9, 16, 8, 5, 2, 7, 1, 3, 6, 12, 14, 10, 4, 15],0.7116279006004333
[14, 2, 12, 1, 15, 10, 7, 11, 5, 4, 3, 9, 8, 6, 16, 13],0.6162790656089783
[2, 1, 11, 3, 16, 13, 7, 4, 12, 5, 9, 15, 6, 10, 8, 14],0.5674418807029724
[3, 16, 10, 4, 11, 7, 14, 5, 2, 15, 12, 9, 1, 6, 8, 13],0.6418604850769043
[4, 1, 5, 6, 13, 12, 16, 10, 7, 8, 11, 2, 14, 3, 9, 15],0.5720930099487305
[13, 8, 5, 6, 14, 4, 12, 15, 3, 7, 16, 10, 2, 9, 1, 11],0.699999988079071
[11, 13, 12, 5, 2, 9, 6, 1, 15, 4, 7, 14, 8, 10, 16, 3],0.46279069781303406
