[10, 9, 8, 7, 6, 5, 4, 3, 2, 1],0.43953487277030945
[10, 9, 8, 7, 6, 5, 4, 3, 2, 1],0.41860464215278625
[2, 9, 1, 7, 4, 3, 8, 6, 5, 10],0.32093024253845215
[6, 10, 8, 3, 1, 9, 5, 4, 2, 7],0.6906976699829102
[6, 1, 2, 7, 3, 10, 4, 9, 5, 8],0.6511628031730652
[2, 4, 9, 8, 10, 3, 7, 6, 1, 5],0.5837209224700928
[1, 3, 10, 8, 5, 7, 6, 9, 2, 4],0.3813953399658203
[9, 10, 6, 5, 2, 4, 7, 3, 1, 8],0.669767439365387
[6, 7, 10, 5, 3, 2, 4, 8, 9, 1],0.4372093081474304
[6, 7, 3, 4, 9, 2, 1, 10, 5, 8],0.4046511650085449
[9, 10, 5, 3, 2, 6, 8, 1, 7, 4],0.262790709733963
[9, 5, 6, 1, 3, 4, 8, 2, 10, 7],0.44186046719551086
[7, 4, 3, 6, 8, 5, 1, 2, 10, 9],0.43023255467414856
[4, 6, 2, 1, 9, 3, 5, 8, 7, 10],0.48604652285575867
[3, 7, 5, 2, 10, 6, 8, 4, 9, 1],0.40697672963142395
[5, 4, 3, 1, 10, 6, 7, 8, 9, 2],0.22093023359775543
[2, 9, 5, 7, 4, 1, 10, 8, 3, 6],0.5372093319892883
[4, 5, 7, 8, 3, 2, 1, 6, 9, 10],0.4139534831047058
[7, 6, 8, 4, 9, 10, 3, 1, 5, 2],0.3139534890651703
[8, 6, 3, 10, 4, 1, 5, 2, 7, 9],0.7930232286453247
[2, 5, 1, 10, 9, 8, 3, 4, 7, 6],0.6279069781303406
[8, 7, 10, 4, 2, 9, 6, 1, 5, 3],0.4767441749572754
[3, 2, 5, 4, 1, 10, 9, 8, 7, 6],0.7069767713546753
[7, 5, 1, 9, 4, 3, 8, 6, 10, 2],0.46046510338783264
[6, 3, 5, 7, 10, 2, 9, 8, 4, 1],0.39767441153526306
[6, 7, 4, 3, 1, 5, 2, 8, 10, 9],0.6348837018013
[8, 6, 2, 10, 7, 5, 4, 9, 1, 3],0.5604650974273682
[2, 4, 8, 7, 1, 6, 9, 5, 3, 10],0.6604651212692261
[6, 4, 10, 9, 7, 3, 1, 5, 8, 2],0.7860465049743652
[9, 10, 8, 7, 6, 5, 2, 4, 1, 3],0.4465116262435913
[1, 5, 8, 7, 9, 2, 3, 6, 4, 10],0.3790697753429413
[8, 7, 2, 3, 6, 5, 9, 4, 1, 10],0.44186046719551086
[3, 4, 5, 6, 7, 1, 10, 9, 2, 8],0.38372093439102173
