[10, 9, 8, 7, 6, 5, 4, 3, 2, 1],0.45348837971687317
[10, 9, 8, 7, 6, 5, 4, 3, 2, 1],0.43953487277030945
[4, 5, 9, 8, 3, 6, 1, 7, 2, 10],0.739534854888916
[8, 10, 5, 6, 3, 2, 1, 7, 9, 4],0.4023255705833435
[8, 9, 10, 7, 3, 1, 2, 5, 4, 6],0.42093023657798767
[2, 8, 4, 3, 1, 6, 10, 5, 7, 9],0.47209301590919495
[9, 7, 10, 4, 2, 5, 3, 6, 8, 1],0.4023255705833435
[3, 6, 10, 7, 8, 9, 4, 2, 1, 5],0.33023256063461304
[5, 7, 1, 4, 6, 3, 10, 8, 9, 2],0.3813953399658203
[8, 2, 7, 3, 5, 1, 9, 10, 6, 4],0.40930232405662537
[6, 8, 9, 1, 5, 10, 2, 4, 7, 3],0.760465145111084
[10, 2, 1, 6, 8, 9, 5, 7, 3, 4],0.539534866809845
[3, 2, 1, 6, 9, 5, 10, 4, 8, 7],0.5906976461410522
[8, 5, 10, 6, 4, 3, 9, 7, 1, 2],0.3883720934391022
[4, 8, 6, 2, 3, 9, 7, 10, 5, 1],0.5767441987991333
[2, 3, 6, 1, 5, 8, 4, 7, 9, 10],0.7511627674102783
[3, 7, 4, 8, 2, 5, 10, 9, 6, 1],0.739534854888916
[10, 1, 8, 7, 3, 6, 2, 4, 5, 9],0.4255813956260681
[10, 4, 9, 3, 7, 6, 5, 1, 8, 2],0.7860465049743652
[6, 8, 7, 3, 10, 5, 2, 4, 1, 9],0.4465116262435913
[6, 2, 7, 8, 4, 5, 10, 3, 1, 9],0.7465116381645203
[3, 2, 10, 8, 1, 7, 4, 6, 9, 5],0.4558139443397522
[1, 2, 8, 7, 6, 9, 3, 4, 5, 10],0.6116279363632202
[7, 6, 1, 9, 3, 4, 8, 2, 5, 10],0.4139534831047058
[9, 3, 7, 8, 6, 1, 5, 10, 2, 4],0.4790697693824768
[6, 9, 5, 1, 2, 8, 10, 3, 7, 4],0.6372092962265015
[4, 10, 7, 3, 5, 2, 8, 9, 1, 6],0.5348837375640869
[8, 6, 1, 10, 5, 9, 7, 4, 3, 2],0.6441860198974609
[2, 5, 9, 10, 4, 3, 8, 6, 7, 1],0.5627906918525696
[9, 10, 7, 2, 6, 1, 4, 3, 8, 5],0.4139534831047058
[2, 4, 8, 5, 10, 9, 6, 7, 3, 1],0.5604650974273682
[5, 4, 9, 7, 10, 6, 2, 8, 1, 3],0.3581395447254181
[2, 4, 7, 10, 5, 6, 1, 9, 3, 8],0.6069767475128174
[5, 9, 10, 3, 8, 7, 1, 4, 2, 6],0.36511626839637756
[4, 7, 9, 2, 5, 8, 10, 1, 6, 3],0.6651162505149841
[5, 10, 1, 9, 2, 8, 6, 3, 4, 7],0.41860464215278625
[10, 3, 5, 1, 6, 4, 7, 8, 2, 9],0.48604652285575867
[10, 4, 3, 2, 1, 5, 7, 6, 8, 9],0.6906976699829102
[6, 1, 10, 8, 2, 4, 5, 7, 9, 3],0.7976744174957275
[10, 1, 4, 9, 7, 5, 2, 6, 8, 3],0.6744186282157898
[10, 9, 5, 4, 1, 2, 3, 7, 6, 8],0.3720930218696594
[3, 4, 6, 1, 8, 5, 2, 10, 9, 7],0.6511628031730652
[4, 7, 10, 3, 6, 1, 5, 9, 8, 2],0.7697674632072449
[4, 5, 10, 7, 8, 2, 1, 3, 6, 9],0.5674418807029724
[1, 6, 8, 7, 9, 5, 3, 2, 10, 4],0.5302325487136841
[3, 10, 6, 7, 1, 5, 2, 8, 4, 9],0.5744186043739319
[2, 7, 8, 10, 9, 1, 6, 4, 3, 5],0.3232558071613312
[5, 2, 10, 1, 7, 6, 9, 3, 8, 4],0.2581395208835602
[6, 5, 3, 9, 10, 7, 8, 1, 2, 4],0.48139533400535583
[8, 4, 6, 9, 2, 3, 1, 7, 10, 5],0.5023255944252014
